MsgID.GLOBAL_POSITION,1517587973.9355788,-121.9939388,37.4137424,0.2280000
MsgID.LOCAL_VELOCITY,1517587973.9355788,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1517587973.9384320,0.1843435,-0.1727395,-0.2260608
MsgID.LOCAL_VELOCITY,1517587973.9384320,-0.0007356,0.0000666,-0.0041425
MsgID.GLOBAL_POSITION,1517587973.9388130,-121.9939360,37.4137422,0.2100000
MsgID.LOCAL_VELOCITY,1517587973.9388130,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1517587973.9392400,0.1730383,0.0507156,-0.2077328
MsgID.LOCAL_VELOCITY,1517587973.9392400,0.0000101,0.0000127,-0.0038321
MsgID.GLOBAL_POSITION,1517587973.9395788,-121.9939373,37.4137426,0.1850000
MsgID.LOCAL_VELOCITY,1517587973.9395788,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1517587973.9413691,0.2158144,-0.0936703,-0.1809793
MsgID.LOCAL_VELOCITY,1517587973.9413691,-0.0010132,-0.0048276,0.0271388
MsgID.GLOBAL_POSITION,1517587973.9416130,-121.9939382,37.4137426,0.1610000
MsgID.LOCAL_VELOCITY,1517587973.9416130,0.0000000,0.0000000,-0.0700000
MsgID.STATE,1517587973.9424069,True,True
MsgID.GLOBAL_HOME,1517587973.9426579,-121.9939365,37.4137407,0.0000000
MsgID.LOCAL_POSITION,1517587973.9427788,0.2162412,-0.1576727,-0.1609308
MsgID.LOCAL_VELOCITY,1517587973.9427788,0.0024616,0.0038524,-0.1184904
MsgID.GLOBAL_POSITION,1517587973.9429700,-121.9939384,37.4137426,0.1770000
MsgID.LOCAL_VELOCITY,1517587973.9429700,0.0000000,0.0100000,-0.1400000
MsgID.LOCAL_POSITION,1517587973.9431429,0.2162412,-0.1713632,-0.1789345
MsgID.LOCAL_VELOCITY,1517587973.9431429,-0.0021385,0.0187237,-0.1663427
MsgID.GLOBAL_POSITION,1517587973.9433370,-121.9939391,37.4137426,0.1910000
MsgID.LOCAL_VELOCITY,1517587973.9433370,0.0000000,0.0200000,-0.1300000
MsgID.LOCAL_POSITION,1517587973.9435320,0.2162412,-0.2442546,-0.1934948
MsgID.LOCAL_VELOCITY,1517587973.9435320,-0.0016077,0.0208385,-0.1276488
MsgID.GLOBAL_POSITION,1517587973.9437339,-121.9939395,37.4137422,0.2120000
MsgID.LOCAL_VELOCITY,1517587973.9437339,0.0000000,0.0100000,-0.1100000
MsgID.LOCAL_POSITION,1517587973.9439301,0.1447752,-0.2556064,-0.2145784
MsgID.LOCAL_VELOCITY,1517587973.9439301,0.0096036,0.0148580,-0.0524963
MsgID.GLOBAL_POSITION,1517587973.9441271,-121.9939387,37.4137413,0.2110000
MsgID.LOCAL_VELOCITY,1517587973.9441271,0.0100000,0.0100000,0.0400000
MsgID.STATE,1517587973.9443159,True,True
MsgID.GLOBAL_HOME,1517587973.9445498,-121.9939365,37.4137407,0.0000000
MsgID.LOCAL_POSITION,1517587973.9447429,0.0732058,-0.2043113,-0.2088174
MsgID.LOCAL_VELOCITY,1517587973.9447429,0.0133478,0.0149241,0.0616569
MsgID.GLOBAL_POSITION,1517587973.9449699,-121.9939385,37.4137427,0.1850000
MsgID.LOCAL_VELOCITY,1517587973.9449699,0.0100000,0.0100000,0.0600000
MsgID.LOCAL_POSITION,1517587973.9451981,0.2624775,-0.1494564,-0.1835745
MsgID.LOCAL_VELOCITY,1517587973.9451981,0.0181900,0.0150362,0.0325164
MsgID.GLOBAL_POSITION,1517587973.9454248,-121.9939360,37.4137434,0.1900000
MsgID.LOCAL_VELOCITY,1517587973.9454248,0.0100000,0.0100000,-0.0500000
